ontology_filename,search_query,results_returned,avg_title_keyword_overlap,avg_snippet_keyword_overlap,unique_domains,github_result_count,academic_result_count
hmo.ttl,"""Historic Masonry Ontology"" ontology",1,1.0,0.42857142857142855,1,0,0
icdd2ams.ttl,"""Asset Condition Integration from ICDD to AMS (icdd2ams)"" ontology",2,0.4801587301587301,0.06605691056910569,2,1,0
idpo.ttl,"""Information Delivery Processes Ontology (IDPO)"" ontology",1,0.7142857142857143,0.2,1,0,0
ifc4-add2.ttl,"""IFC4_ADD2_TC1"" ontology",1,0.5,0.058823529411764705,1,0,0
into.ttl,"""Infrastructure Topology Ontology"" ontology",1,1.0,0.42857142857142855,1,0,0
io.ttl,"""Information Objects Ontology"" bimerr",2,0.575,0.24444444444444444,2,1,0
ioc.ttl,"""IOC: Internet of Construction Ontology"" ontology",1,0.8333333333333334,0.14285714285714285,1,0,0
iot.ttl,"""COGITO IoT ontology"" construction",4,0.2998251748251748,0.14744505494505494,4,0,2
isoprops.ttl,"""ISO 23386 Property Ontology (ISOProps)"" ontology",4,0.37797619047619047,0.11204304954304954,4,1,0
kpi.ttl,"""Key Performance Indicator ontology"" ontology",1,1.0,0.11538461538461539,1,0,0
lca-c-reno.ttl,"""http://www.semanticweb.org/bimspeed/ontologies/2020/4/lca-c-renovation""",1,0.2727272727272727,0.08571428571428572,1,0,0
loin.ttl,"""Level of Information Need (LOIN) Ontology"" ontology",3,0.9166666666666666,0.19788359788359788,2,0,0
mat.ttl,"""Material properties ontology"" ontology",3,0.7666666666666666,0.19128787878787878,2,1,0
mdo.ttl,"""Materials Design Ontology - Core Module"" ontology",1,1.0,0.5555555555555556,1,0,0
mep.ttl,"""Distribution Element Ontology"" ontology",1,1.0,0.11538461538461539,1,0,0
nen2660.ttl,"""https://w3id.org/nen2660/owl/def""",1,0.16666666666666666,0.46153846153846156,1,0,0
ocqa.ttl,"""Ontology for Construction Quality Assurence (OCQA)"" ontology",3,1.0,0.43859649122807015,2,0,0
ofo.ttl,"""Occupant Feedback Ontology"" ontology",1,1.0,0.15,1,0,0
omg.ttl,"""OMG: Ontology for Managing Geometry"" ontology",2,0.8571428571428572,0.2175925925925926,2,0,0
onem2m.ttl,"""This file contains the Base Ontology"" built environment",1,0.2222222222222222,0.15384615384615385,1,0,0
op.ttl,"""Occupancy Profile ontology"" ontology",1,1.0,0.2,1,0,0
opm.ttl,"""OPM: Ontology for Property Management"" ontology",2,0.6777777777777778,0.3033088235294118,2,1,0
ph.ttl,,0,0.0,0.0,0,0,0
process.ttl,"""construction process"" ontology",4,0.39533730158730157,0.17889492753623187,4,1,1
quality.ttl,"""construction quality"" ontology",10,0.4103174603174603,0.15942072531546214,7,1,4
rdo.ttl,"""Roof Damage Ontology"" ontology",1,1.0,0.08695652173913043,1,0,0
reloc.ttl,"""Relative Location Ontology"" ontology",1,1.0,0.07692307692307693,1,0,0
reno-inst.ttl,"""Reno-Inst ontology"" renovation",1,0.4,0.12121212121212122,1,0,0
renp.ttl,"""Renovation Processes and Work Orders Ontology"" ontology",1,1.0,0.1,1,0,0
resource.ttl,"""COGITO Resource ontology"" construction",9,0.27153750389044506,0.1345686400783852,7,1,1
safety.ttl,"""construction safety"" ontology",10,0.34805555555555556,0.11205209716901039,9,0,5
sao.ttl,,0,0.0,0.0,0,0,0
saref.ttl,"""SAREF: the Smart Applications REFerence ontology"" ontology",9,0.6255411255411255,0.2579176847552528,7,0,2
saref4agri.ttl,"""SAREF4AGRI: an extension of SAREF for the agriculture and food domain"" ontology",4,0.494047619047619,0.2686537600330704,3,0,0
saref4auto.ttl,"""SAREF4AUTO: an extension of SAREF for the automotive domain"" ontology",4,0.7545454545454546,0.3324312367276772,2,0,0
saref4bldg.ttl,"""SAREF4BLDG: an extension of SAREF for the building domain"" ontology",5,0.44452380952380954,0.19157245854920274,3,0,0
saref4city.ttl,"""SAREF4CITY: an extension of SAREF for the Smart City domain"" ontology",7,0.35497835497835495,0.1779109257370127,3,0,0
saref4ehaw.ttl,"""SAREF4EHAW: an extension of SAREF for eHealth Ageing Well domain"" ontology",4,0.6676864801864801,0.19383116883116883,2,0,0
saref4ener.ttl,"""SAREF for Energy Flexibility"" ontology",7,0.35313225768776413,0.10050063222820697,5,1,1
saref4envi.ttl,"""SAREF4ENVI: an extension of SAREF for the Environment domain"" ontology",6,0.4638888888888889,0.19700134886270956,4,0,0
saref4grid.ttl,"""SAREF4GRID: an extension of SAREF for the Smart Grid domain"" ontology",5,0.7454545454545455,0.2795137112210283,3,0,0
saref4inma.ttl,"""SAREF4INMA: an extension of SAREF for the industry and manufacturing domain"" ontology",10,0.5800527903469079,0.16352079652809284,8,0,1
saref4lift.ttl,"""SAREF4WEAR: an extension of SAREF for the Smart Lifts domain"" ontology",5,0.44147249809014516,0.20233877233877234,1,0,0
