filename,fields_total,fields_filled,completeness_pct,parse_success,parse_error,class_count,property_count,axiom_count,annotation_coverage_pct,comment_coverage_pct,import_count,language_count,has_title,has_namespace_uri,has_description,has_license,has_version,has_creators,data_property_count,object_property_count,annotation_score,foops_score,alignment_score,accessibility_score,quality_score,has_documentation,has_serialization,has_conceptual_model
saref,13,10,76.9,True,,73,72,0,100.0,0.0,5,0,True,True,True,True,True,True,8,64,100.0,0.81,2.0,3.0,2.0,True,True,True
s4agri,13,10,76.9,True,,31,23,0,100.0,0.0,10,0,True,True,True,True,True,True,4,19,100.0,0.84,3.0,3.0,2.0,True,True,True
s4auto,13,10,76.9,True,,57,14,0,100.0,0.0,5,0,True,True,True,True,True,True,8,6,100.0,0.77,2.0,3.0,2.0,True,True,True
s4bldg,13,10,76.9,True,,68,87,0,100.0,0.0,4,0,True,True,True,True,True,True,81,6,100.0,0.75,2.0,3.0,2.0,True,True,True
s4city,13,10,76.9,True,,26,27,0,100.0,0.0,10,0,True,True,True,True,True,True,6,21,100.0,0.81,2.0,3.0,2.0,True,True,True
s4ehaw,13,10,76.9,True,,28,22,0,100.0,0.0,8,0,True,True,True,True,True,True,10,12,100.0,0.77,2.0,3.0,2.0,True,True,True
s4ener,13,10,76.9,True,,102,173,0,100.0,0.0,5,0,True,True,True,True,True,True,76,97,100.0,0.81,2.0,3.0,2.0,True,True,True
s4envi,13,10,76.9,True,,102,34,0,100.0,0.0,10,0,True,True,True,True,True,True,6,28,100.0,0.81,2.0,3.0,2.0,True,True,True
s4grid,13,10,76.9,True,,46,72,0,100.0,0.0,5,0,True,True,True,True,True,True,45,27,100.0,0.77,2.0,3.0,2.0,True,True,True
s4inma,13,10,76.9,True,,26,26,0,100.0,0.0,6,0,True,True,True,True,True,True,10,16,100.0,0.8,2.0,3.0,2.0,True,True,True
s4lift,13,10,76.9,True,,28,29,0,100.0,0.0,7,0,True,True,True,True,True,True,16,13,100.0,0.77,2.0,3.0,2.0,True,True,True
s4syst,13,10,76.9,True,,3,9,0,100.0,0.0,2,0,True,True,True,True,True,True,0,9,100.0,0.77,1.0,3.0,2.0,True,True,True
s4watr,13,10,76.9,True,,59,26,0,100.0,0.0,9,0,True,True,True,True,True,True,14,12,100.0,0.77,2.0,3.0,2.0,True,True,True
s4wear,13,10,76.9,True,,39,25,0,100.0,0.0,8,0,True,True,True,True,True,True,6,19,100.0,0.8,2.0,3.0,2.0,True,True,True
sbeo,13,10,76.9,True,,244,83,0,100.0,0.0,9,0,True,True,True,True,True,True,31,52,100.0,0.64,3.0,3.0,2.0,True,True,True
sbim,13,5,38.5,True,,0,0,0,0.0,0.0,10,0,True,False,True,False,False,False,0,0,0.0,0.0,3.0,1.0,0.0,False,True,False
