ontology_filename,search_query,results_returned,avg_title_keyword_overlap,avg_abstract_keyword_overlap,max_title_overlap,doi_direct_hit,avg_citation_count,median_year,cs_engineering_ratio,open_access_ratio
kpi.ttl,"""Key Performance Indicator ontology"" ontology",1,0.0625,0.0,0.0625,False,49,2018,0.0,1.0
lca-c-reno.ttl,"""http://www.semanticweb.org/bimspeed/ontologies/2020/4/lca-c-renovation""",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
loin.ttl,"""Level of Information Need (LOIN) Ontology"" ontology",1,0.2,0.0455,0.2,False,5,2023,0.0,1.0
mat.ttl,"""Material properties ontology"" ontology",1,0.0,0.0216,0.0,False,2,2024,1.0,1.0
mdo.ttl,"""Materials Design Ontology - Core Module"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
mep.ttl,"""Distribution Element Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
nen2660.ttl,"""https://w3id.org/nen2660/owl/def""",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
ocqa.ttl,"""Ontology for Construction Quality Assurence (OCQA)"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
ofo.ttl,"""Occupant Feedback Ontology"" ontology",1,0.0,0.0154,0.0,False,11,2024,0.0,1.0
omg.ttl,"""OMG: Ontology for Managing Geometry"" ontology",1,0.0588,0.0348,0.0588,False,9,2019,0.0,1.0
onem2m.ttl,"""This file contains the Base Ontology"" built environment",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
op.ttl,"""Occupancy Profile ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
opm.ttl,"""OPM: Ontology for Property Management"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
ph.ttl,ph ontology built environment,0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
process.ttl,"""construction process"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
quality.ttl,"""construction quality"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
rdo.ttl,"""Roof Damage Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
reloc.ttl,"""Relative Location Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
